system,vehicles_completed,avg_duration,avg_waiting_time,avg_time_loss
incident_baseline,1844,353.53633405639914,256.6990238611714,316.70700650759215
incident_ai,1918,404.4650677789364,301.4718456725756,368.0410636079249
incident_reroute,1853,347.4322719913653,250.3005936319482,310.7328818132758
