id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
154,154.0,303.0,149.0,54.0,108.82,1024.66,results/tripinfo_ai.xml
242,242.0,303.0,61.0,5.0,30.91,641.51,results/tripinfo_ai.xml
138,138.0,304.0,166.0,77.0,122.89,835.32,results/tripinfo_ai.xml
198,198.0,306.0,108.0,33.0,80.54,689.22,results/tripinfo_ai.xml
266,266.0,308.0,42.0,0.0,18.83,410.32,results/tripinfo_ai.xml
124,124.0,309.0,185.0,114.0,161.45,637.49,results/tripinfo_ai.xml
93,93.0,310.0,217.0,82.0,150.31,1365.49,results/tripinfo_ai.xml
259,259.0,310.0,51.0,10.0,27.29,452.68,results/tripinfo_ai.xml
23,23.0,315.0,292.0,190.0,251.3,922.77,results/tripinfo_ai.xml
36,36.0,315.0,279.0,152.0,225.31,1353.01,results/tripinfo_ai.xml
22,22.0,317.0,295.0,221.0,271.67,550.92,results/tripinfo_ai.xml
97,97.0,318.0,221.0,124.0,175.91,1014.15,results/tripinfo_ai.xml
62,62.0,319.0,257.0,178.0,231.06,589.13,results/tripinfo_ai.xml
110,110.0,319.0,209.0,138.0,182.65,637.73,results/tripinfo_ai.xml
51,51.0,320.0,269.0,190.0,248.72,597.84,results/tripinfo_ai.xml
191,191.0,320.0,129.0,83.0,112.3,393.58,results/tripinfo_ai.xml
30,30.0,322.0,292.0,198.0,263.89,868.97,results/tripinfo_ai.xml
203,203.0,323.0,120.0,52.0,97.92,629.17,results/tripinfo_ai.xml
173,173.0,324.0,151.0,67.0,123.51,746.32,results/tripinfo_ai.xml
132,132.0,327.0,195.0,107.0,148.51,881.09,results/tripinfo_ai.xml
96,96.0,328.0,232.0,124.0,179.92,958.85,results/tripinfo_ai.xml
174,182.0,328.0,146.0,63.0,114.93,781.45,results/tripinfo_ai.xml
167,167.0,330.0,163.0,98.0,135.42,529.06,results/tripinfo_ai.xml
116,116.0,331.0,215.0,96.0,175.96,1113.47,results/tripinfo_ai.xml
243,243.0,346.0,103.0,43.0,77.38,539.68,results/tripinfo_ai.xml
177,177.0,356.0,179.0,80.0,144.0,855.2,results/tripinfo_ai.xml
137,137.0,363.0,226.0,122.0,185.96,1029.99,results/tripinfo_ai.xml
76,76.0,364.0,288.0,191.0,251.42,971.27,results/tripinfo_ai.xml
339,339.0,365.0,26.0,20.0,23.81,22.04,results/tripinfo_ai.xml
130,137.0,367.0,230.0,139.0,204.41,682.43,results/tripinfo_ai.xml
133,133.0,367.0,234.0,122.0,192.02,1085.59,results/tripinfo_ai.xml
213,228.0,368.0,140.0,79.0,120.14,459.59,results/tripinfo_ai.xml
66,66.0,370.0,304.0,208.0,264.45,909.34,results/tripinfo_ai.xml
153,153.0,370.0,217.0,131.0,178.98,859.61,results/tripinfo_ai.xml
182,182.0,371.0,189.0,136.0,172.88,424.4,results/tripinfo_ai.xml
54,54.0,372.0,318.0,234.0,285.01,781.29,results/tripinfo_ai.xml
