scenario,system,vehicles_completed,avg_duration,avg_waiting_time,avg_time_loss
low,baseline,678,209.49410029498526,126.53244837758112,174.7076401179941
low,ai,673,233.48291233283803,146.15453194650817,198.66393759286777
medium,baseline,1607,253.2065961418793,164.23397635345364,217.3395270690728
medium,ai,1528,318.23494764397907,221.7997382198953,282.36058900523557
high,baseline,179,159.3463687150838,85.08379888268156,129.38569832402234
high,ai,1987,508.9189733266231,398.5777554101661,470.7920080523402
