id,depart,arrival,duration,waitingTime,timeLoss,routeLength
105,525.0,732.0,207.0,121.0,173.59,794.46
82,410.0,733.0,323.0,210.0,280.61,1007.44
107,535.0,733.0,198.0,87.0,148.5,1309.3
59,295.0,740.0,445.0,284.0,366.84,1639.56
119,595.0,740.0,145.0,49.0,104.1,1152.14
75,375.0,741.0,366.0,201.0,302.84,1627.24
48,240.0,753.0,513.0,403.0,469.12,925.43
124,620.0,759.0,139.0,74.0,115.41,637.49
93,465.0,760.0,295.0,160.0,229.31,1365.49
141,705.0,766.0,61.0,35.0,55.15,185.98
129,645.0,773.0,128.0,76.0,105.83,472.2
132,660.0,773.0,113.0,39.0,66.61,881.09
126,630.0,777.0,147.0,78.0,119.98,646.4
116,580.0,781.0,201.0,98.0,162.74,1113.47
139,695.0,786.0,91.0,38.0,59.47,780.31
99,495.0,813.0,318.0,265.0,305.58,343.7
122,610.0,815.0,205.0,108.0,164.23,1071.47
130,650.0,815.0,165.0,97.0,139.42,682.43
121,605.0,818.0,213.0,139.0,192.62,533.31
127,635.0,820.0,185.0,143.0,165.11,365.67
118,590.0,832.0,242.0,150.0,201.56,1020.48
131,655.0,838.0,183.0,87.0,141.66,1156.06
100,500.0,851.0,351.0,239.0,312.52,1019.21
86,430.0,855.0,425.0,247.0,336.92,1929.9
109,545.0,860.0,315.0,200.0,270.09,982.44
165,825.0,862.0,37.0,0.0,17.35,428.99
114,570.0,864.0,294.0,183.0,254.65,1030.88
138,690.0,869.0,179.0,91.0,136.15,835.32
149,745.0,875.0,130.0,73.0,110.67,448.09
175,875.0,891.0,16.0,0.0,8.2,134.52
137,687.0,903.0,216.0,109.0,175.92,1029.99
163,815.0,903.0,88.0,59.0,78.59,273.12
133,665.0,907.0,242.0,134.0,200.35,1085.59
156,780.0,907.0,127.0,73.0,111.94,492.17
128,640.0,908.0,268.0,199.0,243.68,533.38
148,740.0,910.0,170.0,87.0,131.93,948.91
134,670.0,914.0,244.0,137.0,211.79,981.46
123,634.0,918.0,284.0,165.0,237.84,1212.52
120,600.0,925.0,325.0,175.0,252.08,1387.74
154,772.0,925.0,153.0,64.0,113.06,1024.66
145,725.0,928.0,203.0,112.0,167.02,954.37
146,730.0,932.0,202.0,130.0,164.2,785.23
135,675.0,949.0,274.0,159.0,228.35,1197.01
167,835.0,959.0,124.0,71.0,96.83,529.06
185,925.0,974.0,49.0,8.0,31.02,394.12
161,805.0,993.0,188.0,97.0,150.99,938.82
179,895.0,993.0,98.0,19.0,63.12,867.53
140,700.0,996.0,296.0,189.0,262.71,1008.71
153,765.0,998.0,233.0,149.0,195.53,859.61
162,810.0,998.0,188.0,124.0,165.48,539.87
150,750.0,1000.0,250.0,151.0,203.01,1059.82
143,715.0,1001.0,286.0,170.0,244.73,1229.88
152,760.0,1001.0,241.0,121.0,191.53,1434.93
151,755.0,1005.0,250.0,169.0,220.16,699.8
169,845.0,1008.0,163.0,92.0,131.5,707.15
142,710.0,1011.0,301.0,181.0,246.6,1280.41
172,860.0,1019.0,159.0,64.0,96.0,982.81
136,680.0,1022.0,342.0,250.0,311.15,855.43
160,800.0,1024.0,224.0,132.0,180.18,866.34
173,865.0,1026.0,161.0,81.0,134.46,746.32
144,720.0,1035.0,315.0,152.0,218.45,1546.75
191,955.0,1041.0,86.0,45.0,69.19,393.58
174,870.0,1042.0,172.0,99.0,140.52,781.45
147,735.0,1043.0,308.0,166.0,254.49,1319.07
159,795.0,1044.0,249.0,124.0,198.83,1478.93
166,830.0,1044.0,214.0,130.0,183.38,797.96
155,775.0,1047.0,272.0,144.0,224.04,1348.46
45,225.0,1049.0,824.0,650.0,764.65,1345.07
204,1020.0,1049.0,29.0,0.0,16.81,281.06
196,980.0,1060.0,80.0,34.0,58.1,395.81
211,1055.0,1067.0,12.0,0.0,6.58,150.2
177,885.0,1077.0,192.0,94.0,157.04,855.2
157,785.0,1084.0,299.0,219.0,272.36,703.46
183,915.0,1087.0,172.0,72.0,130.86,1063.07
182,910.0,1091.0,181.0,128.0,164.94,424.4
193,965.0,1093.0,128.0,55.0,101.36,724.24
190,950.0,1096.0,146.0,82.0,116.29,657.5
214,1070.0,1101.0,31.0,5.0,19.5,195.0
187,935.0,1107.0,172.0,91.0,131.61,787.77
198,990.0,1108.0,118.0,45.0,88.74,689.22
180,900.0,1115.0,215.0,99.0,161.36,1370.92
176,880.0,1124.0,244.0,138.0,195.56,1035.08
203,1015.0,1133.0,118.0,56.0,96.67,629.17
186,930.0,1153.0,223.0,132.0,187.47,811.53
194,970.0,1174.0,204.0,122.0,176.97,707.2
171,855.0,1179.0,324.0,194.0,261.61,1361.01
188,940.0,1180.0,240.0,140.0,199.48,997.22
231,1155.0,1180.0,25.0,4.0,18.07,213.75
207,1035.0,1181.0,146.0,63.0,109.31,853.75
206,1030.0,1183.0,153.0,95.0,130.96,511.78
164,820.0,1184.0,364.0,286.0,338.32,579.13
