system,vehicles_completed,avg_duration,avg_waiting_time,avg_time_loss
baseline_medium,1607,253.2065961418793,164.23397635345364,217.3395270690728
old_rl_medium,1506,328.56573705179284,227.58300132802125,292.4957901726427
improved_rl_medium,1662,213.41456077015644,112.60529482551144,177.38751504211797
