scenario,system,vehicles_completed_mean,vehicles_completed_std,avg_duration_mean,avg_duration_std,avg_waiting_time_mean,avg_waiting_time_std,avg_time_loss_mean,avg_time_loss_std,std_waiting_time_mean,std_waiting_time_std
high,ai,1887.0,,497.84684684684686,,388.7832538420774,,459.42675675675673,,485.9721408816095,
high,baseline,179.0,,159.3463687150838,,85.08379888268156,,129.38569832402234,,55.318269277197146,
incident,baseline,1871.6666666666667,40.377386410382414,368.47789127556695,31.31489338856105,269.49048772189843,27.880825303899588,331.8269839762643,31.504241208796067,336.4431413572686,13.754929927189654
low,ai,673.0,,233.48291233283803,,146.15453194650817,,198.66393759286777,,133.80430544556546,
low,baseline,678.0,,209.4941002949853,,126.53244837758112,,174.7076401179941,,100.40894804776433,
medium,ai,1528.0,,318.23494764397907,,221.7997382198953,,282.3605890052356,,233.6250118929644,
medium,baseline,1607.0,,253.2065961418793,,164.23397635345364,,217.3395270690728,,173.24998319773192,
medium,rl,1556.5,71.4177848998413,290.88616659683606,53.28695956179244,195.90848884073745,44.79452514107272,254.91765862085776,53.14350328917462,219.3192997764585,65.15185231489481
unknown,baseline,1582.0,,297.86599241466496,,202.93109987357772,,261.6346649810366,,254.386102936888,
