scenario,vehicles_completed,avg_duration,avg_waiting_time,avg_time_loss
low,678,209.49410029498526,126.53244837758112,174.7076401179941
medium,1607,253.2065961418793,164.23397635345364,217.3395270690728
high,2093,472.57811753463926,364.2298136645963,434.05597228858096
