id,depart,arrival,duration,waitingTime,timeLoss,routeLength,ai
343,686.0,1232.0,546.0,494.0,525.5,389.38,results/tripinfo_ai.xml
474,948.0,1233.0,285.0,193.0,256.31,728.53,results/tripinfo_ai.xml
595,1190.0,1238.0,48.0,4.0,30.22,494.25,results/tripinfo_ai.xml
348,793.0,1239.0,446.0,386.0,425.22,526.9,results/tripinfo_ai.xml
437,874.0,1240.0,366.0,245.0,325.39,1124.28,results/tripinfo_ai.xml
484,968.0,1240.0,272.0,196.0,239.01,668.46,results/tripinfo_ai.xml
460,920.0,1242.0,322.0,202.0,286.53,909.13,results/tripinfo_ai.xml
457,914.0,1243.0,329.0,219.0,299.62,789.16,results/tripinfo_ai.xml
505,1010.0,1244.0,234.0,151.0,210.93,636.17,results/tripinfo_ai.xml
515,1030.0,1244.0,214.0,132.0,181.68,714.33,results/tripinfo_ai.xml
527,1054.0,1244.0,190.0,105.0,153.85,669.3,results/tripinfo_ai.xml
579,1158.0,1246.0,88.0,20.0,63.54,543.81,results/tripinfo_ai.xml
565,1130.0,1248.0,118.0,86.0,108.16,202.13,results/tripinfo_ai.xml
593,1186.0,1248.0,62.0,35.0,54.35,154.45,results/tripinfo_ai.xml
244,488.0,1250.0,762.0,589.0,686.25,1767.6,results/tripinfo_ai.xml
468,936.0,1251.0,315.0,177.0,266.24,1273.35,results/tripinfo_ai.xml
424,848.0,1256.0,408.0,274.0,352.79,1118.18,results/tripinfo_ai.xml
502,1004.0,1257.0,253.0,191.0,232.02,466.39,results/tripinfo_ai.xml
454,908.0,1258.0,350.0,201.0,288.22,1322.24,results/tripinfo_ai.xml
489,978.0,1258.0,280.0,145.0,218.09,1367.06,results/tripinfo_ai.xml
493,986.0,1259.0,273.0,182.0,241.04,920.83,results/tripinfo_ai.xml
540,1080.0,1261.0,181.0,125.0,158.56,417.82,results/tripinfo_ai.xml
607,1214.0,1261.0,47.0,7.0,23.56,410.12,results/tripinfo_ai.xml
568,1136.0,1264.0,128.0,44.0,85.0,764.57,results/tripinfo_ai.xml
557,1114.0,1268.0,154.0,66.0,119.2,737.61,results/tripinfo_ai.xml
617,1240.0,1268.0,28.0,0.0,17.26,238.4,results/tripinfo_ai.xml
487,974.0,1269.0,295.0,205.0,261.85,897.85,results/tripinfo_ai.xml
479,958.0,1272.0,314.0,183.0,252.03,1192.26,results/tripinfo_ai.xml
509,1026.0,1273.0,247.0,141.0,212.26,1036.13,results/tripinfo_ai.xml
564,1128.0,1273.0,145.0,45.0,91.29,981.93,results/tripinfo_ai.xml
517,1035.0,1274.0,239.0,144.0,202.04,896.6,results/tripinfo_ai.xml
471,942.0,1276.0,334.0,222.0,289.2,971.73,results/tripinfo_ai.xml
585,1170.0,1277.0,107.0,50.0,82.61,598.94,results/tripinfo_ai.xml
464,928.0,1278.0,350.0,285.0,323.93,747.65,results/tripinfo_ai.xml
