episode,total_reward
1,-3966.623791328758
2,-6953.636784327992
3,-5700.142916060165
4,-6946.381532574651
5,-4678.889161814654
6,-4653.442956782423
7,-5895.752256186315
8,-8198.752350469767
9,-4900.800817044427
10,-4570.357512823181
11,-5289.2387487633705
12,-5879.46670305677
13,-7247.633249289527
14,-5351.981701843771
15,-3247.426015457132
16,-7385.266908007085
17,-7186.99753240452
18,-7091.583116725581
19,-8366.92936681223
20,-6763.394399390031
